Date,10YUSB_Ensemble_Master,10YUSB_Ensemble_Rank_1,10YUSB_Current_Level
2026-05-15,4.3879,4.6812,4.357
2026-05-22,4.4897,5.0295,4.357
2026-05-29,4.4438,5.4037,4.357
2026-06-05,4.2996,5.3739,4.357
2026-06-12,4.2958,5.3347,4.357
2026-06-18,4.3465,5.7826,4.357
2026-06-26,4.3817,5.6237,4.357
2026-07-03,4.3454,5.6761,4.357
2026-07-10,4.3417,5.59,4.357
2026-07-17,4.3186,5.4298,4.357
2026-07-24,4.3209,5.6186,4.357
2026-07-31,4.2997,5.5703,4.357
